TransactionID,TransactionDate,Amount,MerchantID,TransactionType,Location,IsFraud,Hours,DayOfWeek
203,2023-11-18 08:07:35.463792,4906.35,167,refund,San Antonio,0,8,18
204,2024-01-02 16:20:35.463798,372.55,743,purchase,New York,0,16,2
205,2024-10-20 16:20:35.463803,1650.68,631,refund,Los Angeles,0,16,20
206,2024-04-02 12:58:35.463809,300.25,201,refund,Dallas,0,12,2
207,2024-04-26 22:17:35.463815,967.46,240,purchase,Dallas,0,22,26
208,2024-04-18 20:52:35.463820,2051.75,921,purchase,Chicago,0,20,18
209,2023-11-05 01:05:35.463826,1641.32,826,purchase,San Jose,1,1,5
210,2023-11-07 09:05:35.463833,407.51,116,refund,Chicago,0,9,7
211,2024-03-01 22:27:35.463839,2960.27,965,purchase,San Jose,0,22,1
212,2023-11-06 08:20:35.463845,3128.51,719,refund,Dallas,0,8,6
213,2024-01-06 10:46:35.463852,1463.83,627,refund,Los Angeles,0,10,6
214,2024-04-24 08:54:35.463858,2587.29,43,refund,Houston,0,8,24
215,2024-04-15 19:12:35.463864,165.69,573,refund,Chicago,0,19,15
216,2024-08-26 10:10:35.463871,1408.59,151,refund,San Jose,0,10,26
217,2024-02-18 02:37:35.463876,4398.94,919,refund,Chicago,0,2,18
218,2024-03-20 05:29:35.463882,3365.82,452,purchase,San Diego,0,5,20
219,2024-07-03 13:57:35.463887,547.72,411,purchase,Philadelphia,0,13,3
220,2023-11-24 16:25:35.463893,3403.92,205,purchase,San Diego,0,16,24
221,2024-01-25 00:58:35.463898,4160.09,990,purchase,Houston,0,0,25
222,2024-05-04 01:51:35.463904,3146.9,303,purchase,Los Angeles,0,1,4
223,2024-05-25 00:28:35.463910,4778.31,780,refund,Chicago,0,0,25
224,2024-02-18 01:07:35.463916,2890.29,256,refund,Chicago,0,1,18
225,2024-03-15 05:37:35.463923,4230.17,797,purchase,San Antonio,0,5,15
226,2024-06-18 00:42:35.463928,3387.78,220,refund,San Jose,0,0,18
227,2023-12-09 02:26:35.463931,2837.46,289,refund,San Antonio,0,2,9
228,2024-07-13 21:22:35.463934,1956.96,443,purchase,Phoenix,0,21,13
229,2023-11-15 06:09:35.463937,2798.04,388,refund,San Jose,0,6,15
230,2024-03-30 09:12:35.463941,1774.01,576,purchase,Phoenix,0,9,30
231,2024-01-15 21:08:35.463944,1232.42,279,refund,New York,0,21,15
232,2024-05-08 00:34:35.463948,473.7,445,refund,San Jose,0,0,8
233,2024-10-17 10:02:35.463951,1265.07,148,purchase,Dallas,0,10,17
234,2024-07-31 14:59:35.463955,3726.83,169,refund,Houston,0,14,31
235,2024-05-02 18:43:35.463958,1650.29,515,refund,San Diego,0,18,2
236,2024-10-06 08:52:35.463962,4125.33,4,refund,San Antonio,0,8,6
237,2024-04-04 16:00:35.463965,3506.49,488,purchase,New York,0,16,4
238,2024-07-10 14:26:35.463968,604.3,233,refund,Philadelphia,0,14,10
239,2023-12-27 07:46:35.463971,984.71,496,purchase,Dallas,0,7,27
240,2024-10-15 05:11:35.463975,4541.36,744,purchase,Phoenix,0,5,15
241,2024-09-16 15:16:35.463978,4127.8,298,refund,San Jose,0,15,16
242,2024-08-09 22:53:35.463981,1074.36,53,purchase,Phoenix,0,22,9
243,2024-08-08 20:58:35.463984,3305.73,59,purchase,Philadelphia,0,20,8
244,2023-11-19 14:56:35.463988,2790.95,193,purchase,San Diego,0,14,19
245,2024-07-19 17:36:35.463991,3145.56,947,purchase,New York,0,17,19
246,2023-11-20 20:44:35.463996,4116.82,337,refund,Philadelphia,0,20,20
247,2024-02-05 00:23:35.464002,670.64,248,purchase,Los Angeles,0,0,5
248,2024-01-25 20:28:35.464008,1417.05,966,purchase,Houston,0,20,25
249,2023-12-22 02:45:35.464014,3699.99,827,refund,New York,0,2,22
250,2024-10-06 11:08:35.464019,1805.95,980,refund,Los Angeles,0,11,6
251,2024-08-24 12:38:35.464025,2003.64,949,refund,San Diego,0,12,24
252,2024-01-03 19:13:35.464031,338.18,973,purchase,San Jose,0,19,3
253,2024-10-04 23:36:35.464037,3069.16,919,refund,New York,0,23,4
254,2024-07-28 00:49:35.464042,1809.94,101,refund,San Jose,0,0,28
255,2023-12-19 14:18:35.464048,3660.29,623,purchase,Philadelphia,0,14,19
256,2023-11-10 13:06:35.464054,4228.23,590,purchase,San Jose,0,13,10
257,2024-05-19 07:54:35.464060,996.58,113,purchase,Los Angeles,0,7,19
258,2024-07-28 22:43:35.464065,979.4,598,purchase,Chicago,0,22,28
259,2024-06-12 11:38:35.464068,4310.64,106,refund,Chicago,0,11,12
260,2024-06-28 20:22:35.464072,1841.08,933,refund,Houston,0,20,28
261,2024-07-18 02:51:35.464075,965.29,67,refund,San Jose,0,2,18
262,2024-06-14 13:44:35.464079,2347.86,691,purchase,Chicago,0,13,14
263,2023-12-05 08:58:35.464083,1289.36,1,refund,New York,0,8,5
264,2024-02-20 21:38:35.464086,1176.73,662,refund,Chicago,0,21,20
265,2024-04-29 06:58:35.464090,3503.11,855,refund,Chicago,0,6,29
266,2023-11-04 17:30:35.464093,1730.85,750,refund,San Jose,0,17,4
267,2024-07-23 19:55:35.464096,4429.98,47,refund,Phoenix,0,19,23
268,2024-06-26 09:12:35.464100,565.41,618,refund,Dallas,0,9,26
269,2024-09-09 19:01:35.464103,704.9,371,refund,Dallas,0,19,9
270,2023-12-18 07:48:35.464107,1544.68,695,purchase,Los Angeles,0,7,18
271,2024-02-04 18:52:35.464110,732.16,207,refund,San Diego,0,18,4
272,2023-12-08 04:59:35.464113,3015.08,280,purchase,Chicago,0,4,8
273,2024-09-18 02:44:35.464117,1307.15,136,refund,San Antonio,0,2,18
274,2024-06-02 21:54:35.464120,1834.32,63,purchase,Dallas,0,21,2
275,2024-05-28 02:06:35.464123,2454.34,197,refund,San Jose,0,2,28
276,2024-06-15 06:30:35.464126,1392.09,780,purchase,New York,0,6,15
277,2024-08-01 17:20:35.464130,4815.35,848,purchase,Houston,0,17,1
278,2024-01-08 17:12:35.464133,3513.45,519,purchase,New York,0,17,8
279,2024-06-12 20:04:35.464136,724.56,736,refund,New York,0,20,12
280,2024-02-05 08:51:35.464140,1820.34,864,refund,San Jose,0,8,5
281,2024-09-07 06:24:35.464143,964.78,76,purchase,San Diego,0,6,7
282,2024-04-11 04:08:35.464146,4186.42,731,refund,New York,0,4,11
283,2024-03-22 13:01:35.464150,4305.23,645,refund,Houston,0,13,22
284,2024-08-04 16:07:35.464153,3397.65,972,refund,San Jose,0,16,4
285,2023-11-06 06:00:35.464156,4603.97,843,purchase,Chicago,0,6,6
286,2024-01-04 14:34:35.464159,2125.83,785,purchase,San Jose,0,14,4
287,2024-08-19 20:29:35.464163,1741.04,914,refund,San Antonio,0,20,19
288,2024-03-17 20:01:35.464166,2902.39,870,purchase,Dallas,0,20,17
289,2024-09-01 03:12:35.464169,4259.96,874,refund,Dallas,0,3,1
290,2023-11-27 18:01:35.464172,2887.65,67,refund,Chicago,0,18,27
291,2024-04-14 08:39:35.464176,740.58,671,purchase,Los Angeles,0,8,14
292,2024-05-08 17:51:35.464179,2121.28,480,refund,San Antonio,0,17,8
293,2023-11-24 21:08:35.464182,3524.33,302,refund,San Antonio,0,21,24
294,2024-06-27 17:27:35.464186,3857.24,529,purchase,Los Angeles,0,17,27
295,2024-09-07 13:06:35.464189,716.93,849,purchase,Phoenix,0,13,7
296,2024-08-14 10:56:35.464192,1693.43,804,purchase,San Jose,0,10,14
297,2024-09-21 15:47:35.464195,4862.44,466,purchase,Chicago,0,15,21
298,2024-05-05 07:38:35.464199,2783.65,497,purchase,San Diego,0,7,5
299,2024-03-10 16:46:35.464202,2785.32,882,refund,Los Angeles,0,16,10
300,2024-09-06 03:56:35.464205,4678.38,98,purchase,San Diego,0,3,6
301,2024-04-10 16:48:35.464209,3879.7,887,purchase,San Diego,0,16,10
302,2024-01-04 01:58:35.464212,746.71,332,refund,Chicago,0,1,4
303,2024-09-01 16:27:35.464218,520.72,156,refund,Dallas,0,16,1
304,2024-03-08 01:51:35.464224,3513.39,542,purchase,San Antonio,0,1,8
305,2024-05-11 03:42:35.464230,4734.11,57,purchase,Phoenix,0,3,11
306,2024-02-16 11:38:35.464235,3303.14,925,purchase,Los Angeles,0,11,16
307,2023-11-01 22:08:35.464242,4979.6,540,purchase,New York,0,22,1
308,2024-08-11 05:12:35.464248,2505.91,115,purchase,Los Angeles,0,5,11
309,2024-08-07 05:54:35.464252,4930.26,8,refund,San Antonio,0,5,7
310,2024-10-14 18:33:35.464255,2793.96,768,purchase,Houston,0,18,14
311,2024-07-03 21:47:35.464259,4912.62,886,purchase,San Jose,0,21,3
312,2023-12-28 19:14:35.464262,729.64,278,refund,Dallas,0,19,28
313,2024-09-02 07:02:35.464266,2130.43,213,refund,Los Angeles,0,7,2
314,2024-07-09 16:13:35.464269,2094.02,704,refund,San Diego,0,16,9
315,2024-04-07 05:32:35.464273,928.58,338,purchase,Chicago,0,5,7
316,2024-09-20 23:44:35.464276,1594.15,756,purchase,New York,0,23,20
317,2024-05-03 05:25:35.464279,3002.5,108,purchase,Philadelphia,0,5,3
318,2024-04-07 17:42:35.464282,3744.54,130,refund,San Diego,0,17,7
319,2024-08-10 02:01:35.464286,1491.33,45,refund,San Diego,0,2,10
320,2024-06-16 18:30:35.464289,281.18,237,purchase,Philadelphia,1,18,16
321,2024-05-07 06:47:35.464292,2955.28,340,refund,Dallas,0,6,7
322,2024-05-03 08:25:35.464295,82.0,527,purchase,Houston,0,8,3
323,2023-10-23 08:16:35.464299,3886.43,870,purchase,Chicago,0,8,23
324,2024-06-20 03:17:35.464303,2513.33,693,purchase,Houston,0,3,20
325,2024-08-04 20:09:35.464306,4517.78,744,purchase,Los Angeles,0,20,4
326,2023-11-21 22:42:35.464310,3621.27,449,refund,San Diego,0,22,21
327,2024-06-18 01:19:35.464313,4422.71,574,purchase,San Antonio,0,1,18
328,2024-05-21 23:47:35.464316,581.79,985,purchase,Chicago,0,23,21
329,2024-07-17 08:35:35.464320,899.87,201,refund,Los Angeles,0,8,17
330,2024-10-16 12:22:35.464323,3237.7,277,refund,Houston,0,12,16
331,2024-04-12 06:22:35.464326,1569.25,73,purchase,San Jose,0,6,12
332,2024-08-14 16:25:35.464329,282.62,850,purchase,Dallas,0,16,14
333,2024-01-08 15:43:35.464333,1487.26,671,refund,San Antonio,0,15,8
334,2023-12-28 10:10:35.464336,2537.67,347,purchase,Los Angeles,0,10,28
335,2024-09-22 04:16:35.464340,3890.85,799,refund,Houston,0,4,22
336,2023-10-26 14:16:35.464343,2932.28,443,purchase,Chicago,0,14,26
337,2024-03-08 07:36:35.464346,1243.23,288,purchase,San Diego,0,7,8
338,2024-07-08 00:08:35.464350,117.1,597,purchase,New York,0,0,8
339,2024-04-03 15:42:35.464355,3957.22,439,refund,Phoenix,0,15,3
340,2024-06-21 12:12:35.464360,1511.63,636,refund,New York,0,12,21
341,2024-02-25 23:04:35.464366,574.35,75,purchase,Chicago,0,23,25
342,2024-01-23 08:49:35.464372,2269.92,347,purchase,Philadelphia,0,8,23
343,2024-10-17 07:30:35.464377,1751.23,243,purchase,Dallas,0,7,17
344,2024-08-18 20:24:35.464384,770.07,791,purchase,New York,0,20,18
345,2024-05-18 05:10:35.464389,3986.28,64,purchase,New York,0,5,18
346,2024-07-16 07:27:35.464395,126.1,487,refund,Philadelphia,0,7,16
347,2024-09-09 06:16:35.464400,1688.19,755,refund,Dallas,0,6,9
348,2024-08-11 14:24:35.464407,2775.13,904,purchase,Philadelphia,0,14,11
349,2024-09-14 03:28:35.464413,4610.03,353,purchase,San Jose,0,3,14
350,2024-07-30 10:17:35.464420,4277.16,789,purchase,San Diego,0,10,30
351,2024-09-18 00:05:35.464426,3584.64,96,refund,New York,0,0,18
352,2024-10-02 21:29:35.464432,3588.5,282,refund,San Jose,0,21,2
